Sentence#	Word	POS	Tag
	the	DT	O
	ILS	NNP	B-grp
	engineer	NN	I-grp
	.	.	O
Sentence:11	A	DT	O
	NASA	NNP	B-org
	field	NN	I-org
	Center	NNP	I-org
	can	MD	O
	often	RB	O
	shape	VB	O
	a	DT	O
	contractor	NN	B-grp
	s	JJ	O
	verification	NN	B-opcon
	process	NN	I-opcon
	through	IN	O
	the	DT	O
	project	NN	B-seterm
	s	VBZ	O
	SOW	NNP	B-abb
	.	.	O
Sentence:12	In	IN	O
	preparation	NN	O
	for	IN	O
	verification	NN	B-opcon
	,	,	O
	the	DT	O
	verification	NN	B-opcon
	plan	NN	I-opcon
	and	CC	O
	the	DT	O
	specified	JJ	O
	requirements	NNS	B-opcon
	are	VBP	O
	collected	VBN	O
	,	,	O
	reviewed	VBN	O
	,	,	O
	and	CC	O
	confirmed	VBD	O
	.	.	O
Sentence:13	The	DT	O
	product	NN	B-syscon
	to	TO	O
	be	VB	O
	verified	VBN	O
	is	VBZ	O
	obtained	VBN	O
	output	NN	O
	from	IN	O
	the	DT	O
	Product	NNP	B-opcon
	Implementation	NNP	I-opcon
	Process	NNP	I-opcon
	or	CC	O
	the	DT	O
	Product	NNP	B-opcon
	Integration	NNP	I-opcon
	Process	NNP	I-opcon
	along	IN	O
	with	IN	O
	any	DT	O
	enabling	NN	B-opcon
	products	NNS	I-opcon
	,	,	O
	such	JJ	O
	as	IN	O
	those	DT	O
	representing	VBG	O
	external	JJ	O
	interfacing	NN	O
	products	NNS	B-seterm
	and	CC	O
	support	NN	O
	resources	NNS	O
	including	VBG	O
	personnel	NNS	B-grp
	that	WDT	O
	are	VBP	O
	necessary	JJ	O
	for	IN	O
	verification	NN	B-opcon
	.	.	O
Sentence:14	The	DT	O
	technical	JJ	B-grp
	team	NN	I-grp
	may	MD	O
	have	VB	O
	to	TO	O
	choose	VB	O
	among	IN	O
	designs	NNS	B-opcon
	that	WDT	O
	differ	VBP	O
	in	IN	O
	terms	NNS	O
	of	IN	O
	numerous	JJ	O
	attributes	NNS	O
	.	.	O
Sentence:15	Procedures	NNS	B-opcon
	capturing	VBG	O
	detailed	JJ	O
	step	NN	O
	by	IN	O
	step	NN	O
	activities	NNS	O
	and	CC	O
	based	VBN	O
	on	IN	O
	the	DT	O
	verification	NN	B-opcon
	type	NN	O
	and	CC	O
	methods	NNS	O
	are	VBP	O
	finalized	VBN	O
	and	CC	O
	approved	VBN	O
	.	.	O
Sentence:16	Development	NNP	B-opcon
	of	IN	O
	procedures	NNS	B-opcon
	typically	RB	O
	begins	VBZ	O
	during	IN	O
	the	DT	O
	design	NN	B-event
	phase	NN	I-event
	of	IN	O
	the	DT	O
	project	NN	B-opcon
	life	NN	I-opcon
	cycle	NN	I-opcon
	and	CC	O
	matures	NNS	O
	as	IN	O
	the	DT	O
	design	NN	B-opcon
	is	VBZ	O
	matured	VBN	O
	.	.	O
Sentence:17	The	DT	O
	verification	NN	B-opcon
	environment	NN	I-opcon
	is	VBZ	O
	considered	VBN	O
	as	IN	O
	part	NN	O
	of	IN	O
	procedure	NN	B-opcon
	development	NN	I-opcon
	.	.	O
Sentence:18	Operational	JJ	B-opcon
	scenarios	NNS	I-opcon
	are	VBP	O
	assessed	VBN	O
	to	TO	O
	explore	VB	O
	all	DT	O
	possible	JJ	O
	verification	NN	B-opcon
	activities	NNS	I-opcon
	to	TO	O
	be	VB	O
	performed	VBN	O
	.	.	O
Sentence:19	When	WRB	O
	operator	NN	B-grp
	or	CC	O
	other	JJ	O
	user	JJ	B-grp
	interaction	NN	O
	is	VBZ	O
	involved	VBN	O
	,	,	O
	it	PRP	O
	is	VBZ	O
	important	JJ	O
	to	TO	O
	ensure	VB	O
	that	IN	O
	humans	NNS	B-grp
	are	VBP	O
	properly	RB	O
	represented	VBN	O
	in	IN	O
	the	DT	O
	verification	NN	B-opcon
	activities	NNS	I-opcon
	.	.	O
Sentence:20	This	DT	O
	includes	VBZ	O
	physical	JJ	B-opcon
	size	NN	O
	,	,	O
	skills	NNS	O
	,	,	O
	knowledge	NN	O
	,	,	O
	training	NN	O
	,	,	O
	clothing	NN	O
	,	,	O
	special	JJ	O
	gear	NN	O
	,	,	O
	and	CC	O
	tools	NNS	O
	.	.	O
Sentence:21	NOTE	NN	O
	:	:	O
	Depending	VBG	O
	on	IN	O
	the	DT	O
	nature	NN	O
	of	IN	O
	the	DT	O
	verification	NN	B-opcon
	effort	NN	O
	and	CC	O
	the	DT	O
	life	NN	B-opcon
	cycle	NN	I-opcon
	phase	VBP	B-event
	the	DT	O
	program	NN	B-opcon
	is	VBZ	O
	in	IN	O
	,	,	O
	some	DT	O
	type	NN	O
	of	IN	O
	review	NN	O
	to	TO	O
	assess	VB	O
	readiness	NN	B-opcon
	for	IN	O
	verification	NN	B-opcon
	as	RB	O
	well	RB	O
	as	IN	O
	validation	NN	B-opcon
	later	RB	O
	is	VBZ	O
	typically	RB	O
	held	VBN	O
	.	.	O
Sentence:22	In	IN	O
	earlier	JJR	O
	phases	NNS	B-event
	of	IN	O
	the	DT	O
	life	NN	B-opcon
	cycle	NN	I-opcon
	,	,	O
	these	DT	O
	TRRs	NNP	B-abb
	may	MD	O
	be	VB	O
	held	VBN	O
	informally	RB	O
	;	:	O
	in	IN	O
	later	JJ	O
	phases	NNS	B-event
	of	IN	O
	the	DT	O
	life	NN	B-opcon
	cycle	NN	I-opcon
	,	,	O
	this	DT	O
	review	NN	O
	may	MD	O
	become	VB	O
	a	DT	O
	more	RBR	O
	formal	JJ	O
	event	NN	B-event
	.	.	O
Sentence:23	TRRs	NNP	B-abb
	and	CC	O
	other	JJ	O
	technical	JJ	B-opcon
	reviews	NNS	I-opcon
	are	VBP	O
	an	DT	O
	activity	NN	B-opcon
	of	IN	O
	the	DT	O
	Technical	NNP	B-opcon
	Assessment	NNP	I-opcon
	Process	NNP	I-opcon
	.	.	O
Sentence:24	Peer	NNP	B-opcon
	reviews	NNS	I-opcon
	are	VBP	O
	additional	JJ	O
	reviews	NNS	O
	that	WDT	O
	may	MD	O
	be	VB	O
	conducted	VBN	O
	formally	RB	O
	or	CC	O
	informally	RB	O
	to	TO	O
	ensure	VB	O
	readiness	NN	B-opcon
	for	IN	O
	verification	NN	B-opcon
	as	RB	O
	well	RB	O
	as	IN	O
	the	DT	O
	results	NNS	B-mea
	of	IN	O
	the	DT	O
	verification	NN	B-opcon
	process	NN	I-opcon
	.	.	O
Sentence:25	A	DT	O
	variety	NN	O
	of	IN	O
	methods	NNS	O
	have	VBP	O
	been	VBN	O
	developed	VBN	O
	that	IN	O
	can	MD	O
	be	VB	O
	used	VBN	O
	to	TO	O
	help	VB	O
	uncover	VB	O
	preferences	NNS	O
	between	IN	O
	attributes	NNS	O
	and	CC	O
	to	TO	O
	quantify	VB	O
	subjective	JJ	O
	assessments	NNS	B-opcon
	of	IN	O
	relative	JJ	O
	value	NN	B-mea
	.	.	O
Sentence:26	Analysis	NN	B-opcon
	:	:	O
	The	DT	O
	use	NN	O
	of	IN	O
	mathematical	JJ	B-opcon
	modeling	NN	I-opcon
	and	CC	O
	analytical	JJ	B-opcon
	techniques	NNS	I-opcon
	to	TO	O
	predict	VB	O
	the	DT	O
	suitability	NN	B-mea
	of	IN	O
	a	DT	O
	design	NN	B-opcon
	to	TO	O
	stakeholder	VB	B-mea
	expectations	NNS	I-mea
	based	VBN	O
	on	IN	O
	calculated	VBN	O
	data	NNS	O
	or	CC	O
	data	NNS	O
	derived	VBN	O
	from	IN	O
	lower	JJR	O
	system	NN	B-opcon
	structure	NN	I-opcon
	end	NN	B-opcon
	product	NN	I-opcon
	verifications	NNS	I-opcon
	.	.	O
Sentence:27	Analysis	NN	B-opcon
	is	VBZ	O
	generally	RB	O
	used	VBN	O
	when	WRB	O
	a	DT	O
	prototype	NN	B-opcon
	;	:	O
	engineering	NN	B-opcon
	model	NN	I-opcon
	;	:	O
	or	CC	O
	fabricated	VBN	O
	,	,	O
	assembled	VBN	O
	,	,	O
	and	CC	O
	integrated	JJ	B-syscon
	product	NN	I-syscon
	is	VBZ	O
	not	RB	O
	available	JJ	O
	.	.	O
Sentence:28	Analysis	NN	B-opcon
	includes	VBZ	O
	the	DT	O
	use	NN	O
	of	IN	O
	modeling	NN	B-opcon
	and	CC	O
	simulation	NN	B-opcon
	as	IN	O
	analytical	JJ	B-opcon
	tools	NNS	I-opcon
	.	.	O
Sentence:29	A	DT	O
	model	NN	B-opcon
	is	VBZ	O
	a	DT	O
	mathematical	JJ	B-opcon
	representation	NN	I-opcon
	of	IN	O
	reality	NN	O
	.	.	O
Sentence:30	A	DT	O
	simulation	NN	B-opcon
	is	VBZ	O
	the	DT	O
	manipulation	NN	O
	of	IN	O
	a	DT	O
	model	NN	B-opcon
	.	.	O
Sentence:31	Analysis	NN	B-opcon
	can	MD	O
	include	VB	O
	verification	NN	B-opcon
	by	IN	O
	similarity	NN	O
	of	IN	O
	a	DT	O
	heritage	NN	B-syscon
	product	NN	I-syscon
	.	.	O
Sentence:32	Demonstration	NN	B-seterm
	:	:	O
	Showing	NN	O
	that	IN	O
	the	DT	O
	use	NN	O
	of	IN	O
	an	DT	O
	end	NN	B-syscon
	product	NN	I-syscon
	achieves	VBZ	O
	the	DT	O
	individual	JJ	O
	specified	JJ	O
	requirement	NN	B-opcon
	.	.	O
Sentence:33	It	PRP	O
	is	VBZ	O
	generally	RB	O
	a	DT	O
	basic	JJ	O
	confirmation	NN	O
	of	IN	O
	performance	NN	B-mea
	capability	NN	I-mea
	,	,	O
	differentiated	VBN	O
	from	IN	O
	testing	VBG	B-opcon
	by	IN	O
	the	DT	O
	lack	NN	O
	of	IN	O
	detailed	JJ	O
	data	NNS	B-opcon
	gathering	NN	I-opcon
	.	.	O
Sentence:34	Demonstrations	NNS	O
	can	MD	O
	involve	VB	O
	the	DT	O
	use	NN	O
	of	IN	O
	physical	JJ	B-opcon
	models	NNS	B-opcon
	or	CC	O
	mock	NN	B-opcon
	ups	NNS	I-opcon
	;	:	O
	for	IN	O
	example	NN	O
	,	,	O
	a	DT	O
	requirement	NN	B-opcon
	that	IN	O
	all	DT	O
	controls	NNS	B-syscon
	shall	MD	O
	be	VB	O
	reachable	JJ	O
	by	IN	O
	the	DT	O
	pilot	NN	B-grp
	could	MD	O
	be	VB	O
	verified	VBN	O
	by	IN	O
	having	VBG	O
	a	DT	O
	pilot	NN	B-grp
	perform	NN	O
	flight	NN	B-syscon
	related	VBN	O
	tasks	NNS	O
	in	IN	O
	a	DT	O
	cockpit	NN	B-syscon
	mock	NN	I-syscon
	up	RB	I-syscon
	or	CC	O
	simulator	NN	B-syscon
	.	.	O
Sentence:35	A	DT	O
	demonstration	NN	B-seterm
	could	MD	O
	also	RB	O
	be	VB	O
	the	DT	O
	actual	JJ	O
	operation	NN	B-opcon
	of	IN	O
	the	DT	O
	end	NN	B-syscon
	product	NN	I-syscon
	by	IN	O
	highly	RB	O
	qualified	JJ	O
	personnel	NNS	B-grp
	,	,	O
	such	JJ	O
	as	IN	O
	test	NN	B-grp
	pilots	NNS	I-grp
	,	,	O
	who	WP	O
	perform	VBP	O
	a	DT	O
	onetime	JJ	O
	event	NN	B-event
	that	WDT	O
	demonstrates	VBZ	O
	a	DT	O
	capability	NN	O
	to	TO	O
	operate	VB	O
	at	IN	O
	extreme	JJ	O
	limits	NNS	O
	of	IN	O
	system	NN	B-opcon
	performance	NN	I-opcon
	,	,	O
	an	DT	O
	operation	NN	B-opcon
	not	RB	O
	normally	RB	O
	expected	VBN	O
	from	IN	O
	a	DT	O
	representative	JJ	B-grp
	operational	JJ	I-grp
	pilot	NN	I-grp
	.	.	O
Sentence:36	When	WRB	O
	this	DT	O
	can	MD	O
	be	VB	O
	done	VBN	O
	,	,	O
	trades	NNS	O
	between	IN	O
	attributes	NNS	O
	can	MD	O
	be	VB	O
	assessed	VBN	O
	quantitatively	RB	O
	.	.	O
Sentence:37	Inspection	NN	B-opcon
	:	:	O
	The	DT	O
	visual	JJ	O
	examination	NN	O
	of	IN	O
	a	DT	O
	realized	JJ	O
	end	NN	B-syscon
	product	NN	I-syscon
	.	.	O
Sentence:38	Inspection	NN	B-opcon
	is	VBZ	O
	generally	RB	O
	used	VBN	O
	to	TO	O
	verify	VB	O
	physical	JJ	B-opcon
	design	NN	B-opcon
	features	NNS	O
	or	CC	O
	specific	JJ	O
	manufacturer	NN	O
	identification	NN	O
	.	.	O
Sentence:39	Inspection	NN	B-opcon
	can	MD	O
	include	VB	O
	inspection	NN	B-opcon
	of	IN	O
	drawings	NNS	B-opcon
	,	,	O
	documents	NNS	O
	,	,	O
	or	CC	O
	other	JJ	O
	records	NNS	O
	.	.	O
Sentence:40	Test	NN	B-opcon
	:	:	O
	The	DT	O
	use	NN	O
	of	IN	O
	an	DT	O
	end	NN	B-syscon
	product	NN	I-syscon
	to	TO	O
	obtain	VB	O
	detailed	JJ	O
	data	NNS	O
	needed	VBN	O
	to	TO	O
	verify	VB	O
	performance	NN	B-mea
	or	CC	O
	provide	VB	O
	sufficient	JJ	O
	information	NN	O
	to	TO	O
	verify	VB	O
	performance	NN	B-mea
	through	IN	O
	further	JJ	O
	analysis	NN	B-opcon
	.	.	O
Sentence:41	Testing	VBG	B-opcon
	can	MD	O
	be	VB	O
	conducted	VBN	O
	on	IN	O
	final	JJ	O
	end	NN	B-seterm
	products	NNS	I-seterm
	,	,	O
	breadboards	NNS	O
	,	,	O
	brassboards	NNS	O
	,	,	O
	or	CC	O
	prototypes	NNS	O
	.	.	O
Sentence:42	Testing	VBG	B-opcon
	produces	NNS	O
	data	NNS	O
	at	IN	O
	discrete	JJ	O
	points	NNS	O
	for	IN	O
	each	DT	O
	specified	VBN	O
	requirement	NN	B-opcon
	under	IN	O
	controlled	VBN	O
	conditions	NNS	O
	and	CC	O
	is	VBZ	O
	the	DT	O
	most	RBS	O
	resource	JJ	O
	intensive	JJ	O
	verification	NN	B-opcon
	technique	NN	O
	.	.	O
Sentence:43	The	DT	O
	actual	JJ	O
	act	NN	O
	of	IN	O
	verifying	VBG	O
	the	DT	O
	end	NN	B-syscon
	product	NN	I-syscon
	is	VBZ	O
	performed	VBN	O
	as	IN	O
	spelled	VBN	O
	out	RP	O
	in	IN	O
	the	DT	O
	plans	NNS	O
	and	CC	O
	procedures	NNS	B-opcon
	,	,	O
	and	CC	O
	conformance	NN	O
	is	VBZ	O
	established	VBN	O
	with	IN	O
	each	DT	O
	specified	VBN	O
	product	NN	B-syscon
	requirement	NN	B-opcon
	.	.	O
Sentence:44	The	DT	O
	verification	NN	B-opcon
	lead	NN	O
	should	MD	O
	ensure	VB	O
	that	IN	O
	the	DT	O
	procedures	NNS	B-opcon
	were	VBD	O
	followed	VBN	O
	and	CC	O
	performed	VBN	O
	as	IN	O
	planned	VBN	O
	,	,	O
	the	DT	O
	verification	NN	B-opcon
	enabling	NN	B-opcon
	products	NNS	I-opcon
	and	CC	O
	instrumentation	NN	O
	were	VBD	O
	calibrated	VBN	O
	correctly	RB	O
	,	,	O
	and	CC	O
	the	DT	O
	data	NNS	O
	were	VBD	O
	collected	VBN	O
	and	CC	O
	recorded	VBN	O
	for	IN	O
	required	JJ	O
	verification	NN	B-opcon
	measures	NNS	O
	.	.	O
Sentence:45	A	DT	O
	verification	NN	B-opcon
	program	NN	B-opcon
	may	MD	O
	include	VB	O
	verifications	NNS	O
	at	IN	O
	several	JJ	O
	layers	NNS	O
	in	IN	O
	the	DT	O
	product	NN	B-syscon
	hierarchy	NN	O
	.	.	O
Sentence:46	Some	DT	O
	verifications	NNS	O
	need	VBP	B-opcon
	to	TO	O
	be	VB	O
	performed	VBN	O
	at	IN	O
	the	DT	O
	lowest	JJS	O
	component	NN	O
	level	NN	O
	if	IN	O
	the	DT	O
	ability	NN	O
	to	TO	O
	verify	VB	O
	a	DT	O
	requirement	NN	B-opcon
	at	IN	O
	a	DT	O
	higher	JJR	O
	assembly	NN	B-opcon
	is	VBZ	O
	not	RB	O
	possible	JJ	O
	.	.	O
Sentence:47	Often	RB	O
	,	,	O
	however	RB	O
	,	,	O
	the	DT	O
	attributes	NNS	O
	are	VBP	O
	incompatible	JJ	O
	.	.	O
Sentence:48	Likewise	RB	O
	,	,	O
	there	EX	O
	may	MD	O
	be	VB	O
	verifications	NNS	O
	at	IN	O
	assemblies	NNS	O
	,	,	O
	subsystems	NNS	B-syscon
	and	CC	O
	system	NN	B-syscon
	levels	NNS	O
	.	.	O
Sentence:49	If	IN	O
	practicable	JJ	O
	,	,	O
	a	DT	O
	final	JJ	O
	set	NN	O
	of	IN	O
	testing	VBG	B-opcon
	with	IN	O
	as	RB	O
	much	JJ	O
	of	IN	O
	the	DT	O
	end	NN	O
	to	TO	O
	end	VB	O
	configuration	NN	B-opcon
	as	IN	O
	possible	JJ	O
	is	VBZ	O
	important	JJ	O
	.	.	O
Sentence:50	The	DT	O
	purpose	NN	O
	of	IN	O
	end	NN	O
	to	TO	O
	end	VB	O
	testing	NN	B-opcon
	is	VBZ	O
	to	TO	O
	demonstrate	VB	O
	interface	NN	O
	compatibility	NN	O
	and	CC	O
	desired	VBD	O
	total	JJ	O
	functionality	NN	O
	among	IN	O
	different	JJ	O
	elements	NNS	O
	of	IN	O
	a	DT	O
	mission	NN	B-seterm
	system	NN	B-syscon
	,	,	O
	between	IN	O
	systems	NNS	B-syscon
	the	DT	O
	system	NN	B-syscon
	of	IN	O
	interest	NN	O
	and	CC	O
	external	JJ	O
	enabling	VBG	O
	systems	NNS	B-syscon
	,	,	O
	and	CC	O
	within	IN	O
	a	DT	O
	system	NN	B-syscon
	as	IN	O
	a	DT	O
	whole	NN	O
	.	.	O
Sentence:51	It	PRP	O
	can	MD	O
	involve	VB	O
	real	JJ	O
	or	CC	O
	representative	JJ	O
	input	NN	O
	and	CC	O
	operational	JJ	B-opcon
	scenarios	NNS	I-opcon
	.	.	O
Sentence:52	End	NN	O
	to	TO	O
	end	VB	O
	tests	NNS	O
	performed	VBN	O
	on	IN	O
	the	DT	O
	integrated	VBN	O
	ground	NN	O
	and	CC	O
	flight	NN	B-syscon
	assets	NNS	O
	include	VBP	O
	all	DT	O
	elements	NNS	O
	of	IN	O
	the	DT	O
	flight	NN	B-syscon
	article	NN	O
	payload	NN	O
	or	CC	O
	vehicle	NN	O
	,	,	O
	its	PRP$	O
	control	NN	O
	,	,	O
	stimulation	NN	O
	,	,	O
	communications	NNS	O
	,	,	O
	and	CC	O
	data	NNS	O
	processing	NN	O
	to	TO	O
	demonstrate	VB	O
	that	IN	O
	the	DT	O
	entire	JJ	O
	integrated	VBN	O
	mission	NN	B-seterm
	system	NN	B-syscon
	is	VBZ	O
	operating	VBG	O
	in	IN	O
	a	DT	O
	manner	NN	O
	to	TO	O
	fulfill	VB	O
	all	DT	O
	mission	NN	B-seterm
	requirements	NNS	B-opcon
	and	CC	O
	objectives	NNS	B-opcon
	.	.	O
Sentence:53	End	NN	O
	to	TO	O
	end	VB	O
	tests	NNS	O
	may	MD	O
	be	VB	O
	performed	VBN	O
	as	IN	O
	part	NN	O
	of	IN	O
	investigative	JJ	O
	engineering	NN	B-seterm
	tests	NNS	O
	,	,	O
	verification	NN	B-opcon
	testing	NN	I-opcon
	,	,	O
	or	CC	O
	validation	NN	B-opcon
	testing	NN	I-opcon
	.	.	O
Sentence:54	These	DT	O
	are	VBP	O
	some	DT	O
	of	IN	O
	the	DT	O
	most	RBS	O
	important	JJ	O
	tests	NNS	O
	for	IN	O
	the	DT	O
	SERs	NNP	B-abb
	to	TO	O
	participate	VB	O
	in	IN	O
	or	CC	O
	to	TO	O
	lead	VB	O
	.	.	O
Sentence:55	They	PRP	O
	review	VBP	O
	the	DT	O
	overall	JJ	O
	compatibility	NN	O
	of	IN	O
	the	DT	O
	various	JJ	O
	systems	NNS	B-syscon
	and	CC	O
	demonstrate	VB	O
	compliance	NN	O
	with	IN	O
	system	NN	B-opcon
	level	NN	I-opcon
	requirements	NNS	I-opcon
	and	CC	O
	whether	IN	O
	the	DT	O
	system	NN	B-syscon
	behaves	VBZ	O
	as	IN	O
	expected	VBN	O
	by	IN	O
	the	DT	O
	stakeholders	NNS	B-grp
	.	.	O
Sentence:56	End	NN	O
	to	TO	O
	end	VB	O
	testing	VBG	B-opcon
	includes	VBZ	O
	executing	VBG	O
	complete	JJ	O
	threads	NNS	O
	or	CC	O
	operational	JJ	B-opcon
	scenarios	NNS	I-opcon
	across	IN	O
	multiple	JJ	O
	CI	NNP	O
	,	,	O
	ensuring	VBG	O
	that	IN	O
	all	DT	O
	mission	NN	B-seterm
	requirements	NNS	B-opcon
	are	VBP	O
	verified	VBN	O
	and	CC	O
	validated	VBN	O
	.	.	O
Sentence:57	Operational	JJ	B-opcon
	scenarios	NNS	I-opcon
	are	VBP	O
	used	VBN	O
	extensively	RB	O
	to	TO	O
	ensure	VB	O
	that	IN	O
	the	DT	O
	mission	NN	B-seterm
	system	NN	B-syscon
	or	CC	O
	collections	NNS	O
	of	IN	O
	systems	NNS	B-syscon
	will	MD	O
	successfully	RB	O
	execute	VB	O
	mission	NN	B-seterm
	requirements	NNS	B-opcon
	.	.	O
Sentence:58	In	IN	O
	the	DT	O
	end	NN	O
	,	,	O
	decisions	NNS	O
	need	VBP	B-opcon
	to	TO	O
	be	VB	O
	made	VBN	O
	in	IN	O
	spite	NN	O
	of	IN	O
	the	DT	O
	given	VBN	O
	variety	NN	O
	of	IN	O
	attributes	NNS	O
	.	.	O
Sentence:59	Scenarios	NNS	O
	should	MD	O
	be	VB	O
	described	VBN	O
	in	IN	O
	a	DT	O
	manner	NN	O
	that	WDT	O
	allows	VBZ	O
	engineers	NNS	O
	to	TO	O
	walk	VB	O
	through	IN	O
	them	PRP	O
	and	CC	O
	gain	VB	O
	an	DT	O
	understanding	NN	O
	of	IN	O
	how	WRB	O
	all	PDT	O
	the	DT	O
	various	JJ	O
	parts	NNS	O
	of	IN	O
	the	DT	O
	system	NN	B-syscon
	should	MD	O
	function	VB	O
	and	CC	O
	interact	VB	O
	as	RB	O
	well	RB	O
	as	IN	O
	verify	NN	O
	that	IN	O
	the	DT	O
	system	NN	B-syscon
	will	MD	O
	satisfy	VB	O
	the	DT	O
	user	NN	B-grp
	s	NN	O
	goals	NNS	O
	and	CC	O
	expectations	NNS	B-opcon
	MOEs	NNP	O
	.	.	O
Sentence:60	Each	DT	O
	scenario	NN	O
	should	MD	O
	include	VB	O
	events	NNS	O
	,	,	O
	actions	NNS	O
	,	,	O
	stimuli	NNS	O
	,	,	O
	information	NN	O
	,	,	O
	and	CC	O
	interactions	NNS	O
	as	IN	O
	appropriate	JJ	O
	to	TO	O
	provide	VB	O
	a	DT	O
	comprehensive	JJ	O
	understanding	NN	O
	of	IN	O
	the	DT	O
	operational	JJ	B-opcon
	aspects	NNS	O
	of	IN	O
	the	DT	O
	system	NN	B-syscon
	.	.	O
Sentence:61	Each	DT	O
	arrow	NN	O
	in	IN	O
	the	DT	O
	diagram	NN	O
	represents	VBZ	O
	one	CD	B-cardinal
	or	CC	O
	more	JJR	O
	data	NNS	O
	or	CC	O
	control	NN	O
	flows	VBZ	O
	between	IN	O
	two	CD	B-cardinal
	hardware	NN	B-syscon
	,	,	O
	software	NN	B-syscon
	,	,	O
	subsystem	NN	O
	,	,	O
	or	CC	O
	system	NN	B-syscon
	CI	NNP	O
	.	.	O
Sentence:62	End	NN	O
	to	TO	O
	end	VB	O
	testing	VBG	B-opcon
	verifies	NNS	O
	that	IN	O
	the	DT	O
	data	NN	O
	flows	VBZ	O
	throughout	IN	O
	the	DT	O
	multisystem	NN	O
	environment	NN	O
	are	VBP	O
