Sentence#	Word	POS	Tag
	interests	NNS	O
	and	CC	O
	multiple	NN	O
	","	","	O
	sometimes	RB	O
	conflicting	VBG	O
	constraints	NNS	B-seterm
	.	.	O
Sentence:9	The	DT	O
	SER	NNP	B-abb
	should	MD	O
	develop	VB	O
	the	DT	O
	skill	NN	O
	for	IN	O
	identifying	NN	O
	and	CC	O
	focusing	VBG	O
	efforts	NNS	O
	on	IN	O
	assessments	NNS	B-opcon
	to	TO	O
	optimize	VB	O
	the	DT	O
	overall	JJ	O
	design	NN	B-opcon
	and	CC	O
	not	RB	O
	favor	VB	O
	one	CD	B-CARDINAL
	system	NN	B-syscon
	subsystem	NN	I-syscon
	at	IN	O
	the	DT	O
	expense	NN	O
	of	IN	O
	another	DT	O
	while	NN	O
	constantly	RB	O
	validating	VBG	O
	that	IN	O
	the	DT	O
	goals	NNS	O
	of	IN	O
	the	DT	O
	operational	JJ	B-syscon
	system	NN	I-syscon
	will	MD	O
	be	VB	O
	met	VBN	O
	.	.	O
Sentence:10	The	DT	O
	art	NN	O
	is	VBZ	O
	in	IN	O
	knowing	VBG	O
	when	WRB	O
	and	CC	O
	where	WRB	O
	to	TO	O
	probe	VB	O
	.	.	O
Sentence:11	The	DT	O
	exact	JJ	O
	role	NN	O
	and	CC	O
	responsibility	NN	O
	of	IN	O
	the	DT	O
	SER	NNP	B-abb
	may	MD	O
	change	VB	O
	from	IN	O
	project	NN	B-seterm
	to	TO	O
	project	VB	B-seterm
	depending	VBG	O
	on	IN	O
	the	DT	O
	size	NN	O
	and	CC	O
	complexity	NN	O
	of	IN	O
	the	DT	O
	project	NN	B-seterm
	and	CC	O
	from	IN	O
	phase	NN	B-event
	to	TO	O
	phase	NN	B-event
	of	IN	O
	the	DT	O
	life	NN	B-opcon
	cycle	NN	I-opcon
	.	.	O
Sentence:12	For	IN	O
	large	JJ	O
	projects	NNS	B-seterm
	","	","	O
	there	EX	O
	may	MD	O
	be	VB	O
	one	CD	B-CARDINAL
	or	CC	O
	more	JJR	O
	SERs	NNP	B-abb
	.	.	O
Sentence:13	For	IN	O
	small	JJ	O
	projects	NNS	B-seterm
	","	","	O
	the	DT	O
	project	NN	B-grp
	manager	NN	I-grp
	may	MD	O
	sometimes	VB	O
	perform	VB	O
	these	DT	O
	practices	NNS	O
	.	.	O
Sentence:14	But	CC	O
	whoever	WP	O
	assumes	VBZ	O
	those	DT	O
	responsibilities	NNS	O
	","	","	O
	the	DT	O
	SEG	NNP	B-abb
	functions	NNS	B-opcon
	should	MD	O
	be	VB	O
	performed	VBN	O
	.	.	O
Sentence:15	The	DT	O
	actual	JJ	O
	assignment	NN	O
	of	IN	O
	the	DT	O
	roles	NNS	O
	and	CC	O
	responsibilities	NNS	O
	of	IN	O
	the	DT	O
	named	VBN	O
	SER	NNP	B-abb
	may	MD	O
	also	RB	O
	therefore	VB	O
	vary	NN	O
	.	.	O
Sentence:16	The	DT	O
	lead	NN	O
	SER	NNP	B-abb
	ensures	VBZ	O
	that	IN	O
	the	DT	O
	system	NN	B-syscon
	technically	RB	O
	fulfills	VBZ	O
	the	DT	O
	defined	JJ	O
	needs	NNS	B-opcon
	and	CC	O
	requirements	NNS	B-opcon
	and	CC	O
	that	IN	O
	a	DT	O
	proper	JJ	O
	SEG	NNP	B-abb
	approach	NN	O
	is	VBZ	O
	being	VBG	O
	followed	VBN	O
	.	.	O
Sentence:17	The	DT	O
	SER	NNP	B-abb
	oversees	VBZ	O
	the	DT	O
	project	NN	B-seterm
	s	VBZ	O
	SEG	NNP	B-abb
	activities	NNS	O
	as	IN	O
	performed	VBN	O
	by	IN	O
	the	DT	O
	technical	JJ	B-grp
	team	NN	I-grp
	and	CC	O
	directs	NNS	O
	","	","	O
	communicates	NNS	O
	","	","	O
	monitors	NNS	O
	","	","	O
	and	CC	O
	coordinates	VBZ	O
	tasks	NNS	O
	.	.	O
Sentence:18	The	DT	O
	SER	NNP	B-abb
	reviews	NNS	O
	and	CC	O
	evaluates	VBZ	O
	the	DT	O
	technical	JJ	O
	aspects	NNS	O
	of	IN	O
	the	DT	O
	project	NN	B-seterm
	to	TO	O
	ensure	VB	O
	that	IN	O
	the	DT	O
	systems	NNS	B-syscon
	sub	VBP	B-opcon
	SEG	NNP	I-opcon
	processes	NNS	I-opcon
	are	VBP	O
	functioning	VBG	O
	properly	RB	O
	and	CC	O
	evolves	VBZ	O
	the	DT	O
	system	NN	B-syscon
	from	IN	O
	concept	NN	B-seterm
	to	TO	O
	product	NN	B-seterm
	.	.	O
Sentence:19	The	DT	O
	entire	JJ	O
	technical	JJ	B-grp
	team	NN	I-grp
	is	VBZ	O
	involved	VBN	O
	in	IN	O
	the	DT	O
	SEG	NNP	B-opcon
	process	NN	I-opcon
	.	.	O
Sentence:20	The	DT	O
	SER	NNP	B-abb
	usually	RB	O
	plays	VBZ	O
	the	DT	O
	key	JJ	O
	role	NN	O
	in	IN	O
	leading	VBG	O
	the	DT	O
	development	NN	B-opcon
	of	IN	O
	the	DT	O
	ConOps	NNP	B-abb
	and	CC	O
	resulting	VBG	O
	system	NN	B-opcon
	architecture	NN	I-opcon
	","	","	O
	defining	VBG	O
	boundaries	NNS	B-opcon
	","	","	O
	defining	VBG	O
	and	CC	O
	allocating	VBG	O
	requirements	NNS	B-opcon
	","	","	O
	evaluating	VBG	O
	design	NN	B-opcon
	tradeoffs	NNS	I-opcon
	","	","	O
	balancing	VBG	O
	technical	JJ	B-opcon
	risk	NN	I-opcon
	between	IN	O
	systems	NNS	B-syscon
	","	","	O
	defining	VBG	O
	and	CC	O
	assessing	VBG	O
	interfaces	NNS	B-syscon
	","	","	O
	and	CC	O
	providing	VBG	O
	oversight	NN	O
	of	IN	O
	V	NNP	B-abb
	&	CC	I-abb
	V	NNP	I-abb
	activities	NNS	O
	","	","	O
	as	RB	O
	well	RB	O
	as	IN	O
	many	JJ	O
	other	JJ	O
	tasks	NNS	O
	.	.	O
Sentence:21	The	DT	O
	SER	NNP	B-abb
	typically	RB	O
	leads	VBZ	O
	the	DT	O
	technical	JJ	B-opcon
	planning	NN	I-opcon
	effort	NN	O
	and	CC	O
	has	VBZ	O
	the	DT	O
	prime	JJ	O
	responsibility	NN	O
	in	IN	O
	documenting	VBG	O
	many	JJ	O
	of	IN	O
	the	DT	O
	technical	JJ	B-opcon
	plans	NNS	I-opcon
	","	","	O
	requirements	NNS	B-opcon
	and	CC	I-opcon
	specification	NN	I-opcon
	documents	NNS	I-opcon
	","	","	O
	V	NNP	B-abb
	&	CC	I-abb
	V	NNP	I-abb
	documents	NNS	O
	","	","	O
	certification	NN	B-opcon
	packages	NNS	I-opcon
	","	","	O
	and	CC	O
	other	JJ	O
	technical	JJ	B-opcon
	documentation	NN	I-opcon
	.	.	O
Sentence:22	In	IN	O
	summary	JJ	O
	","	","	O
	the	DT	O
	SER	NNP	B-abb
	is	VBZ	O
	skilled	VBN	O
	in	IN	O
	the	DT	O
	art	NN	O
	and	CC	O
	science	NN	O
	of	IN	O
	balancing	VBG	O
	organizational	JJ	O
	","	","	O
	cost	NN	B-mea
	","	","	O
	and	CC	O
	technical	JJ	B-opcon
	interactions	NNS	I-opcon
	in	IN	O
	complex	JJ	B-syscon
	systems	NNS	I-syscon
	.	.	O
Sentence:23	The	DT	O
	SER	NNP	B-abb
	and	CC	O
	supporting	VBG	O
	organization	NN	O
	are	VBP	O
	vital	JJ	O
	to	TO	O
	supporting	VBG	O
	program	NN	O
	and	CC	O
	PP	NNP	B-abb
	&	CC	I-abb
	C	NNP	I-abb
	with	IN	O
	accurate	NN	O
	and	CC	O
	timely	JJ	O
	cost	NN	B-mea
	and	CC	O
	schedule	NN	B-opcon
	information	NN	O
	for	IN	O
	the	DT	O
	technical	JJ	B-opcon
	activities	NNS	I-opcon
	.	.	O
Sentence:24	SEG	NNP	B-abb
	is	VBZ	O
	about	IN	O
	tradeoffs	NNS	B-seterm
	and	CC	O
	compromises	NNS	B-seterm
	;	:	O
	it	PRP	O
	uses	VBZ	O
	a	DT	O
	broad	JJ	O
	crosscutting	VBG	O
	view	NN	O
	of	IN	O
	the	DT	O
	system	NN	B-syscon
	rather	RB	O
	than	IN	O
	a	DT	O
	single	JJ	O
	discipline	NN	O
	view	NN	O
	.	.	O
Sentence:25	SEG	NNP	B-abb
	plays	VBZ	O
	a	DT	O
	key	JJ	O
	role	NN	O
	in	IN	O
	the	DT	O
	project	NN	B-seterm
	organization	NN	I-seterm
	.	.	O
Sentence:26	Managing	VBG	O
	a	DT	O
	project	NN	B-seterm
	consists	VBZ	O
	of	IN	O
	three	CD	B-CARDINAL
	main	JJ	O
	objectives	NNS	B-opcon
	:	:	O
	managing	VBG	O
	the	DT	O
	technical	JJ	B-opcon
	aspects	NNS	I-opcon
	of	IN	O
	the	DT	O
	project	NN	B-seterm
	","	","	O
	managing	VBG	O
	the	DT	O
	project	NN	B-grp
	team	NN	I-grp
	","	","	O
	and	CC	O
	managing	VBG	O
	the	DT	O
	cost	NN	B-mea
	and	CC	O
	schedule	NN	B-opcon
	.	.	O
Sentence:27	SEG	NNP	B-abb
	is	VBZ	O
	focused	VBN	O
	on	IN	O
	the	DT	O
	technical	JJ	B-opcon
	characteristics	NNS	I-opcon
	of	IN	O
	decisions	NNS	O
	including	VBG	O
	technical	JJ	B-opcon
	","	","	O
	cost	NN	B-mea
	","	","	O
	and	CC	O
	schedule	NN	B-opcon
	and	CC	O
	on	IN	O
	providing	VBG	O
	these	DT	O
	to	TO	O
	the	DT	O
	project	NN	B-grp
	manager	NN	I-grp
	.	.	O
Sentence:28	The	DT	O
	PP	NNP	B-abb
	&	CC	I-abb
	C	NNP	I-abb
	function	NN	O
	is	VBZ	O
	responsible	JJ	O
	for	IN	O
	identifying	VBG	O
	and	CC	O
	controlling	VBG	O
	the	DT	O
	cost	NN	B-mea
	and	CC	O
	schedules	NNS	B-opcon
	of	IN	O
	the	DT	O
	project	NN	B-seterm
	.	.	O
Sentence:29	The	DT	O
	project	NN	B-grp
	manager	NN	I-grp
	has	VBZ	O
	overall	JJ	O
	responsibility	NN	O
	for	IN	O
	managing	VBG	O
	the	DT	O
	project	NN	B-grp
	team	NN	I-grp
	and	CC	O
	ensuring	VBG	O
	that	IN	O
	the	DT	O
	project	NN	B-seterm
	delivers	VBZ	O
	a	DT	O
	technically	RB	O
	correct	JJ	O
	system	NN	B-syscon
	within	IN	O
	cost	NN	B-mea
	and	CC	O
	schedule	NN	B-opcon
	.	.	O
Sentence:30	Note	NN	O
	that	IN	O
	there	EX	O
	are	VBP	O
	areas	NNS	O
	where	WRB	O
	the	DT	O
	two	CD	B-CARDINAL
	cornerstones	NNS	O
	of	IN	O
	project	NN	B-opcon
	management	NN	I-opcon
	","	","	O
	SE	NNP	B-abb
	and	CC	O
	PP	NNP	B-abb
	&	CC	I-abb
	C	NNP	I-abb
	","	","	O
	overlap	NN	O
	.	.	O
Sentence:31	In	IN	O
	these	DT	O
	areas	NNS	O
	","	","	O
	SE	NNP	B-abb
	provides	VBZ	O
	the	DT	O
	technical	JJ	B-opcon
	aspects	NNS	I-opcon
	or	CC	O
	inputs	NNS	O
	whereas	IN	O
	PP	NNP	B-abb
	&	CC	I-abb
	C	NNP	I-abb
	provides	VBZ	O
	the	DT	O
	programmatic	JJ	B-opcon
	","	","	O
	cost	NN	B-mea
	","	","	O
	and	CC	O
	schedule	NN	B-opcon
	inputs	NNS	O
	.	.	O
Sentence:32	This	DT	O
	document	NN	O
	focuses	VBZ	O
	on	IN	O
	the	DT	O
	SE	NNP	B-abb
	side	NN	O
	of	IN	O
	the	DT	O
	diagram	NN	O
	.	.	O
Sentence:33	Each	DT	O
	process	NN	B-seterm
	is	VBZ	O
	described	VBN	O
	in	IN	O
	much	JJ	O
	greater	JJR	O
	detail	NN	O
	in	IN	O
	subsequent	JJ	O
	chapters	NNS	O
	of	IN	O
	this	DT	O
	document	NN	O
	","	","	O
	but	CC	O
	an	DT	O
	overview	NN	O
	is	VBZ	O
	given	VBN	O
	in	IN	O
	the	DT	O
	following	JJ	O
	subsections	NNS	O
	of	IN	O
	this	DT	O
	chapter	NN	O
	.	.	O
Sentence:34	The	DT	O
	processes	NNS	B-seterm
	of	IN	O
	the	DT	O
	SE	NNP	B-opcon
	engine	NN	I-opcon
	are	VBP	O
	used	VBN	O
	to	TO	O
	develop	VB	O
	and	CC	O
	realize	VB	O
	the	DT	O
	end	NN	B-seterm
	products	NNS	I-seterm
	.	.	O
Sentence:35	Processes	NNS	B-seterm
	10	CD	B-CARDINAL
	through	IN	O
	17	CD	B-CARDINAL
	are	VBP	O
	crosscutting	VBG	O
	tools	NNS	O
	for	IN	O
	carrying	VBG	O
	out	RP	O
	the	DT	O
	processes	NNS	B-seterm
	.	.	O
Sentence:36	These	DT	O
	processes	NNS	B-seterm
	are	VBP	O
	applied	VBN	O
	to	TO	O
	each	DT	O
	product	NN	B-seterm
	of	IN	O
	the	DT	O
	system	NN	B-opcon
	structure	NN	I-opcon
	from	IN	O
	the	DT	O
	top	NN	O
	of	IN	O
	the	DT	O
	structure	NN	B-seterm
	to	TO	O
	the	DT	O
	bottom	NN	O
	until	IN	O
	the	DT	O
	lowest	JJS	O
	products	NNS	B-seterm
	in	IN	O
	any	DT	O
	system	NN	B-opcon
	structure	NN	I-opcon
	branch	NN	O
	are	VBP	O
	defined	VBN	O
	to	TO	O
	the	DT	O
	point	NN	O
	where	WRB	O
	they	PRP	O
	can	MD	O
	be	VB	O
	built	VBN	O
	","	","	O
	bought	VBD	O
	","	","	O
	or	CC	O
	reused	VBN	O
	.	.	O
Sentence:37	All	DT	O
	other	JJ	O
	products	NNS	B-seterm
	in	IN	O
	the	DT	O
	system	NN	B-opcon
	structure	NN	I-opcon
	are	VBP	O
	realized	VBN	O
	by	IN	O
	implementation	NN	B-opcon
	or	CC	O
	integration	NN	B-opcon
	.	.	O
Sentence:38	Product	NNP	B-opcon
	Realization	NNP	I-opcon
	Processes	VBZ	I-opcon
	:	:	O
	The	DT	O
	product	NN	B-opcon
	realization	NN	I-opcon
	processes	NNS	I-opcon
	are	VBP	O
	applied	VBN	O
	to	TO	O
	each	DT	O
	operational	JJ	B-opcon
	mission	NN	I-opcon
	product	NN	I-opcon
	in	IN	O
	the	DT	O
	system	NN	B-opcon
	structure	NN	I-opcon
	starting	VBG	O
	from	IN	O
	the	DT	O
	lowest	JJS	O
	level	NN	O
	product	NN	B-seterm
	and	CC	O
	working	VBG	O
	up	RP	O
	to	TO	O
	higher	JJR	O
	level	NN	O
	integrated	VBN	B-seterm
	products	NNS	I-seterm
	.	.	O
Sentence:39	These	DT	O
	processes	NNS	B-seterm
	are	VBP	O
	used	VBN	O
	to	TO	O
	create	VB	O
	the	DT	O
	design	NN	B-opcon
	solution	NN	I-opcon
	for	IN	O
	each	DT	O
	product	NN	B-seterm
	through	IN	O
	buying	NN	O
	","	","	O
	coding	NN	O
	","	","	O
	building	NN	O
	","	","	O
	or	CC	O
	reusing	VBG	O
	and	CC	O
	to	TO	O
	verify	VB	O
	","	","	O
	validate	NN	O
	","	","	O
	and	CC	O
	transition	NN	O
	up	RB	O
	to	TO	O
	the	DT	O
	next	JJ	O
	hierarchical	JJ	O
	level	NN	O
	those	DT	O
	products	NNS	B-seterm
	that	WDT	O
	satisfy	VBP	O
	their	PRP$	O
	design	NN	B-opcon
	solutions	NNS	I-opcon
	and	CC	O
	meet	VB	O
	stakeholder	JJR	B-grp
	expectations	NNS	O
	as	IN	O
	a	DT	O
	function	NN	O
	of	IN	O
	the	DT	O
	applicable	JJ	O
	life	NN	B-opcon
	cycle	NN	I-opcon
	phase	NN	B-event
	.	.	O
Sentence:40	The	DT	O
	processes	NNS	B-seterm
	within	IN	O
	the	DT	O
	SE	NNP	B-abb
	engine	NN	O
	are	VBP	O
	used	VBN	O
	both	DT	O
	iteratively	RB	O
	and	CC	O
	recursively	RB	O
	.	.	O
Sentence:41	This	DT	O
	also	RB	O
	applies	VBZ	O
	to	TO	O
	repeating	VBG	O
	application	NN	O
	of	IN	O
	the	DT	O
	same	JJ	O
	processes	VBZ	B-seterm
	to	TO	O
	the	DT	O
	system	NN	B-opcon
	structure	NN	I-opcon
	in	IN	O
	the	DT	O
	next	JJ	O
	life	NN	B-opcon
	cycle	NN	I-opcon
	phase	NN	B-event
	to	TO	O
	mature	VB	O
	the	DT	O
	system	NN	B-syscon
	definition	NN	O
	and	CC	O
	satisfy	NN	O
	phase	NN	B-opcon
	success	NN	I-opcon
	criteria	NNS	I-opcon
	.	.	O
	''	''	O
Sentence:42	The	DT	O
	technical	JJ	B-opcon
	processes	NNS	I-opcon
	are	VBP	O
	applied	VBN	O
	recursively	RB	O
	and	CC	O
	iteratively	RB	O
	to	TO	O
	break	VB	O
	down	RP	O
	the	DT	O
	initializing	JJ	O
	concepts	NNS	B-seterm
	of	IN	O
	the	DT	O
	system	NN	B-syscon
	to	TO	O
	a	DT	O
	level	NN	O
	of	IN	O
	detail	NN	O
	concrete	NN	O
	enough	IN	O
	that	IN	O
	the	DT	O
	technical	JJ	B-grp
	team	NN	I-grp
	can	MD	O
	implement	VB	O
	a	DT	O
	product	NN	B-seterm
	from	IN	O
	the	DT	O
	information	NN	O
	.	.	O
Sentence:43	Then	RB	O
	the	DT	O
	processes	NNS	B-seterm
	are	VBP	O
	applied	VBN	O
	recursively	RB	O
	and	CC	O
	iteratively	RB	O
	to	TO	O
	integrate	VB	O
	the	DT	O
	smallest	JJS	O
	product	NN	B-seterm
	into	IN	O
	greater	JJR	O
	and	CC	O
	larger	JJR	O
	systems	NNS	B-syscon
	until	IN	O
	the	DT	O
	whole	NN	O
	of	IN	O
	the	DT	O
	system	NN	B-syscon
	or	CC	O
	product	NN	B-seterm
	has	VBZ	O
	been	VBN	O
	assembled	VBN	O
	","	","	O
	verified	VBN	O
	","	","	O
	validated	VBN	O
	","	","	O
	and	CC	O
	transitioned	VBD	O
	.	.	O
Sentence:44	AS9100	NNP	B-art
	is	VBZ	O
	a	DT	O
	widely	RB	O
	adopted	VBN	O
	and	CC	O
	standardized	VBN	O
	quality	NN	B-syscon
	management	NN	I-syscon
	system	NN	I-syscon
	developed	VBD	O
	for	IN	O
	the	DT	O
	commercial	JJ	B-org
	aerospace	NN	I-org
	industry	NN	I-org
	.	.	O
Sentence:45	The	DT	O
	uppermost	JJ	O
	horizontal	JJ	O
	portion	NN	O
	of	IN	O
	this	DT	O
	chart	NN	O
	is	VBZ	O
	used	VBN	O
	as	IN	O
	a	DT	O
	reference	NN	O
	to	TO	O
	project	VB	B-opcon
	system	NN	I-opcon
	maturity	NN	I-opcon
	","	","	O
	as	IN	O
	the	DT	O
	project	NN	B-seterm
	progresses	VBZ	O
	from	IN	O
	a	DT	O
	feasible	JJ	O
	concept	NN	B-seterm
	to	TO	O
	an	DT	O
	as	IN	O
	deployed	JJ	B-syscon
	system	NN	I-syscon
	;	:	O
	phase	NN	B-event
	activities	NNS	O
	;	:	O
	KDPs	NNP	B-abb
	;	:	O
	and	CC	O
	major	JJ	O
	project	NN	B-seterm
	reviews	NNS	O
	.	.	O
Sentence:46	The	DT	O
	next	JJ	O
	major	JJ	O
	horizontal	NN	O
	band	NN	O
	shows	VBZ	O
	the	DT	O
	technical	JJ	B-opcon
	development	NN	I-opcon
	processes	VBZ	I-opcon
	steps	NNS	O
	1	CD	B-CARDINAL
	through	IN	O
	9	CD	B-CARDINAL
	in	IN	O
	each	DT	O
	project	NN	B-EVENT
	phase	NN	I-EVENT
	.	.	O
Sentence:47	The	DT	O
	next	JJ	O
	major	JJ	O
	horizontal	NN	O
	band	NN	O
	shows	VBZ	O
	the	DT	O
	eight	CD	B-CARDINAL
	technical	JJ	B-opcon
	management	NN	I-opcon
	processes	VBZ	I-opcon
	steps	NNS	O
	10	CD	B-CARDINAL
	through	IN	O
	17	CD	B-CARDINAL
	in	IN	O
	each	DT	O
	project	NN	B-EVENT
	phase	NN	I-EVENT
	.	.	O
Sentence:48	The	DT	O
	SE	NNP	B-opcon
	engine	NN	I-opcon
	cycles	VBZ	I-opcon
	the	DT	O
	technical	JJ	B-opcon
	management	NN	I-opcon
	processes	VBZ	I-opcon
	seven	CD	B-CARDINAL
	times	NNS	O
	from	IN	O
	Pre	NNP	B-EVENT
	Phase	NNP	I-EVENT
	A	NNP	I-EVENT
	through	IN	O
	Phase	NNP	B-EVENT
	F	NNP	I-EVENT
	.	.	O
Sentence:49	Determine	NNP	O
	feasibility	NN	B-opcon
	of	IN	O
	desired	JJ	O
	system	NN	B-syscon
	","	","	O
	develop	VB	O
	analysis	NN	B-opcon
	","	","	O
	study	NN	O
	reports	NNS	B-opcon
	","	","	O
	mission	NN	B-opcon
	concepts	NNS	I-opcon
	","	","	O
	draft	NN	O
	system	NN	B-opcon
	level	NN	I-opcon
	requirements	NNS	I-opcon
	","	","	O
	assess	JJ	O
	models	NNS	B-opcon
	","	","	O
	and	CC	O
	mock	NN	B-opcon
	ups	NNS	I-opcon
	performance	NN	I-opcon
	","	","	O
	cost	NN	B-mea
	","	","	O
	and	CC	O
	schedule	NN	B-opcon
	feasibility	NN	B-mea
	;	:	O
	identify	VB	O
	Pre	NNP	B-opcon
	potential	JJ	I-opcon
	technology	NN	I-opcon
	needs	NNS	I-opcon
	","	","	O
	and	CC	O
	scope	NN	O
	.	.	O
Sentence:50	Phase	VB	B-EVENT
	A	DT	I-EVENT
	To	TO	O
	determine	VB	O
	the	DT	O
	feasibility	NN	B-mea
	and	CC	O
	desirability	NN	B-mea
	of	IN	O
	a	DT	O
	suggested	JJ	O
	System	NNP	B-opcon
	concept	NN	I-opcon
	definition	NN	I-opcon
	Concept	NNP	B-seterm
	and	CC	O
	new	JJ	O
	system	NN	B-syscon
	and	CC	O
	establish	VB	O
	an	DT	O
	initial	JJ	O
	baseline	NN	B-opcon
	compatibility	NN	I-opcon
	in	IN	O
	the	DT	O
	form	NN	O
	of	IN	O
	simulations	NNS	B-opcon
	","	","	O
	Formulation	NNP	O
	Technology	NNP	O
	with	IN	O
	NASA	NNP	B-org
	s	VBP	O
	strategic	JJ	O
	plans	NNS	O
	.	.	O
Sentence:51	Develop	NNP	O
	final	JJ	O
	mission	NN	B-opcon
	concept	NN	I-opcon
	","	","	O
	analysis	NN	B-opcon
	","	","	O
	engineering	NN	B-opcon
	models	NNS	I-opcon
	Development	NNP	O
	system	NN	B-opcon
	level	NN	I-opcon
	requirements	NNS	I-opcon
	","	","	O
	needed	VBN	O
	system	NN	B-opcon
	technology	NN	I-opcon
	and	CC	O
	mock	NN	B-opcon
	ups	NNS	I-opcon
	","	","	O
	and	CC	O
	trade	NN	O
	Preliminary	NNP	O
	baseline	NN	O
	capable	NN	O
	of	IN	O
	meeting	VBG	O
	mission	NN	O
	needs	NNS	O
	.	.	O
Sentence:52	Develop	NNP	O
	mock	NN	B-opcon
	ups	NNS	I-opcon
	","	","	O
	trade	NN	O
	study	NN	O
	results	NNS	B-mea
	","	","	O
	developments	NNS	B-opcon
	","	","	O
	and	CC	O
	program	NN	O
	project	NN	B-seterm
	technical	JJ	B-opcon
	management	NN	I-opcon
	study	NN	I-opcon
	definition	NN	O
	plans	NNS	O
	.	.	O
Sentence:53	Phase	NNP	B-EVENT
	C	NNP	I-EVENT
	To	TO	O
	complete	VB	O
	the	DT	O
	detailed	JJ	O
	design	NN	B-opcon
	of	IN	O
	the	DT	O
	system	NN	B-syscon
	and	CC	O
	its	PRP$	O
	End	NNP	O
	product	NN	O
	detailed	JJ	O
	designs	NNS	B-opcon
	","	","	O
	Final	NNP	O
	Design	NNP	B-opcon
	associated	VBD	O
