Word	Tag
are	O
necessary	O
for	O
verification	B-opcon
.	O
The	O
technical	B-grp
team	I-grp
may	O
have	O
to	O
choose	O
among	O
designs	B-opcon
that	O
differ	O
in	O
terms	O
of	O
numerous	O
attributes	O
.	O
Procedures	B-opcon
capturing	O
detailed	O
step	O
by	O
step	O
activities	O
and	O
based	O
on	O
the	O
verification	B-opcon
type	O
and	O
methods	O
are	O
finalized	O
and	O
approved	O
.	O
Development	B-opcon
of	O
procedures	B-opcon
typically	O
begins	O
during	O
the	O
design	B-event
phase	I-event
of	O
the	O
project	B-opcon
life	I-opcon
cycle	I-opcon
and	O
matures	O
as	O
the	O
design	B-opcon
is	O
matured	O
.	O
The	O
verification	B-opcon
environment	I-opcon
is	O
considered	O
as	O
part	O
of	O
procedure	B-opcon
development	I-opcon
.	O
Operational	B-opcon
scenarios	I-opcon
are	O
assessed	O
to	O
explore	O
all	O
possible	O
verification	B-opcon
activities	I-opcon
to	O
be	O
performed	O
.	O
When	O
operator	B-grp
or	O
other	O
user	B-grp
interaction	O
is	O
involved	O
,	O
it	O
is	O
important	O
to	O
ensure	O
that	O
humans	B-grp
are	O
properly	O
represented	O
in	O
the	O
verification	B-opcon
activities	I-opcon
.	O
This	O
includes	O
physical	B-opcon
size	O
,	O
skills	O
,	O
knowledge	O
,	O
training	O
,	O
clothing	O
,	O
special	O
gear	O
,	O
and	O
tools	O
.	O
NOTE	O
:	O
Depending	O
on	O
the	O
nature	O
of	O
the	O
verification	B-opcon
effort	O
and	O
the	O
life	B-opcon
cycle	I-opcon
phase	B-event
the	O
program	B-opcon
is	O
in	O
,	O
some	O
type	O
of	O
review	O
to	O
assess	O
readiness	B-opcon
for	O
verification	B-opcon
as	O
well	O
as	O
validation	B-opcon
later	O
is	O
typically	O
held	O
.	O
In	O
earlier	O
phases	B-event
of	O
the	O
life	B-opcon
cycle	I-opcon
,	O
these	O
TRRs	B-abb
may	O
be	O
held	O
informally	O
;	O
in	O
later	O
phases	B-event
of	O
the	O
life	B-opcon
cycle	I-opcon
,	O
this	O
review	O
may	O
become	O
a	O
more	O
formal	O
event	B-event
.	O
TRRs	B-abb
and	O
other	O
technical	B-opcon
reviews	I-opcon
are	O
an	O
activity	B-opcon
of	O
the	O
Technical	B-opcon
Assessment	I-opcon
Process	I-opcon
.	O
Peer	B-opcon
reviews	I-opcon
are	O
additional	O
reviews	O
that	O
may	O
be	O
conducted	O
formally	O
or	O
informally	O
to	O
ensure	O
readiness	B-opcon
for	O
verification	B-opcon
as	O
well	O
as	O
the	O
results	B-mea
of	O
the	O
verification	B-opcon
process	I-opcon
.	O
A	O
variety	O
of	O
methods	O
have	O
been	O
developed	O
that	O
can	O
be	O
used	O
to	O
help	O
uncover	O
preferences	O
between	O
attributes	O
and	O
to	O
quantify	O
subjective	O
assessments	B-opcon
of	O
relative	O
value	B-mea
.	O
Analysis	B-opcon
:	O
The	O
use	O
of	O
mathematical	B-opcon
modeling	I-opcon
and	O
analytical	B-opcon
techniques	I-opcon
to	O
predict	O
the	O
suitability	B-mea
of	O
a	O
design	B-opcon
to	O
stakeholder	B-mea
expectations	I-mea
based	O
on	O
calculated	O
data	O
or	O
data	O
derived	O
from	O
lower	O
system	B-opcon
structure	I-opcon
end	B-opcon
product	I-opcon
verifications	I-opcon
.	O
Analysis	B-opcon
is	O
generally	O
used	O
when	O
a	O
prototype	B-opcon
;	O
engineering	B-opcon
model	I-opcon
;	O
or	O
fabricated	O
,	O
assembled	O
,	O
and	O
integrated	B-syscon
product	I-syscon
is	O
not	O
available	O
.	O
Analysis	B-opcon
includes	O
the	O
use	O
of	O
modeling	B-opcon
and	O
simulation	B-opcon
as	O
analytical	B-opcon
tools	I-opcon
.	O
A	O
model	B-opcon
is	O
a	O
mathematical	B-opcon
representation	I-opcon
of	O
reality	O
.	O
A	O
simulation	B-opcon
is	O
the	O
manipulation	O
of	O
a	O
model	B-opcon
.	O
Analysis	B-opcon
can	O
include	O
verification	B-opcon
by	O
similarity	O
of	O
a	O
heritage	B-syscon
product	I-syscon
.	O
Demonstration	B-seterm
:	O
Showing	O
that	O
the	O
use	O
of	O
an	O
end	B-syscon
product	I-syscon
achieves	O
the	O
individual	O
specified	O
requirement	B-opcon
.	O
It	O
is	O
generally	O
a	O
basic	O
confirmation	O
of	O
performance	B-mea
capability	I-mea
,	O
differentiated	O
from	O
testing	B-opcon
by	O
the	O
lack	O
of	O
detailed	O
data	B-opcon
gathering	I-opcon
.	O
Demonstrations	O
can	O
involve	O
the	O
use	O
of	O
physical	B-opcon
models	B-opcon
or	O
mock	B-opcon
ups	I-opcon
;	O
for	O
example	O
,	O
a	O
requirement	B-opcon
that	O
all	O
controls	B-syscon
shall	O
be	O
reachable	O
by	O
the	O
pilot	B-grp
could	O
be	O
verified	O
by	O
having	O
a	O
pilot	B-grp
perform	O
flight	B-syscon
related	O
tasks	O
in	O
a	O
cockpit	B-syscon
mock	I-syscon
up	I-syscon
or	O
simulator	B-syscon
.	O
A	O
demonstration	B-seterm
could	O
also	O
be	O
the	O
actual	O
operation	B-opcon
of	O
the	O
end	B-syscon
product	I-syscon
by	O
highly	O
qualified	O
personnel	B-grp
,	O
such	O
as	O
test	B-grp
pilots	I-grp
,	O
who	O
perform	O
a	O
onetime	O
event	B-event
that	O
demonstrates	O
a	O
capability	O
to	O
operate	O
at	O
extreme	O
limits	O
of	O
system	B-opcon
performance	I-opcon
,	O
an	O
operation	B-opcon
not	O
normally	O
expected	O
from	O
a	O
representative	B-grp
operational	I-grp
pilot	I-grp
.	O
When	O
this	O
can	O
be	O
done	O
,	O
trades	O
between	O
attributes	O
can	O
be	O
assessed	O
quantitatively	O
.	O
Inspection	B-opcon
:	O
The	O
visual	O
examination	O
of	O
a	O
realized	O
end	B-syscon
product	I-syscon
.	O
Inspection	B-opcon
is	O
generally	O
used	O
to	O
verify	O
physical	B-opcon
design	B-opcon
features	O
or	O
specific	O
manufacturer	O
identification	O
.	O
Inspection	B-opcon
can	O
include	O
inspection	B-opcon
of	O
drawings	B-opcon
,	O
documents	O
,	O
or	O
other	O
records	O
.	O
Test	B-opcon
:	O
The	O
use	O
of	O
an	O
end	B-syscon
product	I-syscon
to	O
obtain	O
detailed	O
data	O
needed	O
to	O
verify	O
performance	B-mea
or	O
provide	O
sufficient	O
information	O
to	O
verify	O
performance	B-mea
through	O
further	O
analysis	B-opcon
.	O
Testing	B-opcon
can	O
be	O
conducted	O
on	O
final	O
end	B-seterm
products	I-seterm
,	O
breadboards	O
,	O
brassboards	O
,	O
or	O
prototypes	O
.	O
Testing	B-opcon
produces	O
data	O
at	O
discrete	O
points	O
for	O
each	O
specified	O
requirement	B-opcon
under	O
controlled	O
conditions	O
and	O
is	O
the	O
most	O
resource	O
intensive	O
verification	B-opcon
technique	O
.	O
The	O
actual	O
act	O
of	O
verifying	O
the	O
end	B-syscon
product	I-syscon
is	O
performed	O
as	O
spelled	O
out	O
in	O
the	O
plans	O
and	O
procedures	B-opcon
,	O
and	O
conformance	O
is	O
established	O
with	O
each	O
specified	O
product	B-syscon
requirement	B-opcon
.	O
The	O
verification	B-opcon
lead	O
should	O
ensure	O
that	O
the	O
procedures	B-opcon
were	O
followed	O
and	O
performed	O
as	O
planned	O
,	O
the	O
verification	B-opcon
enabling	B-opcon
products	I-opcon
and	O
instrumentation	O
were	O
calibrated	O
correctly	O
,	O
and	O
the	O
data	O
were	O
collected	O
and	O
recorded	O
for	O
required	O
verification	B-opcon
measures	O
.	O
A	O
verification	B-opcon
program	B-opcon
may	O
include	O
verifications	O
at	O
several	O
layers	O
in	O
the	O
product	B-syscon
hierarchy	O
.	O
Some	O
verifications	O
need	B-opcon
to	O
be	O
performed	O
at	O
the	O
lowest	O
component	O
level	O
if	O
the	O
ability	O
to	O
verify	O
a	O
requirement	B-opcon
at	O
a	O
higher	O
assembly	B-opcon
is	O
not	O
possible	O
.	O
Often	O
,	O
however	O
,	O
the	O
attributes	O
are	O
incompatible	O
.	O
Likewise	O
,	O
there	O
may	O
be	O
verifications	O
at	O
assemblies	O
,	O
subsystems	B-syscon
and	O
system	B-syscon
levels	O
.	O
If	O
practicable	O
,	O
a	O
final	O
set	O
of	O
testing	B-opcon
with	O
as	O
much	O
of	O
the	O
end	O
to	O
end	O
configuration	B-opcon
as	O
possible	O
is	O
important	O
.	O
The	O
purpose	O
of	O
end	O
to	O
end	O
testing	B-opcon
is	O
to	O
demonstrate	O
interface	O
compatibility	O
and	O
desired	O
total	O
functionality	O
among	O
different	O
elements	O
of	O
a	O
mission	B-seterm
system	B-syscon
,	O
between	O
systems	B-syscon
the	O
system	B-syscon
of	O
interest	O
and	O
external	O
enabling	O
systems	B-syscon
,	O
and	O
within	O
a	O
system	B-syscon
as	O
a	O
whole	O
.	O
It	O
can	O
involve	O
real	O
or	O
representative	O
input	O
and	O
operational	B-opcon
scenarios	I-opcon
.	O
End	O
to	O
end	O
tests	O
performed	O
on	O
the	O
integrated	O
ground	O
and	O
flight	B-syscon
assets	O
include	O
all	O
elements	O
of	O
the	O
flight	B-syscon
article	O
payload	O
or	O
vehicle	O
,	O
its	O
control	O
,	O
stimulation	O
,	O
communications	O
,	O
and	O
data	O
processing	O
to	O
demonstrate	O
that	O
the	O
entire	O
integrated	O
mission	B-seterm
system	B-syscon
is	O
operating	O
in	O
a	O
manner	O
to	O
fulfill	O
all	O
mission	B-seterm
requirements	B-opcon
and	O
objectives	B-opcon
.	O
End	O
to	O
end	O
tests	O
may	O
be	O
performed	O
as	O
part	O
of	O
investigative	O
engineering	B-seterm
tests	O
,	O
verification	B-opcon
testing	I-opcon
,	O
or	O
validation	B-opcon
testing	I-opcon
.	O
These	O
are	O
some	O
of	O
the	O
most	O
important	O
tests	O
for	O
the	O
SERs	B-abb
to	O
participate	O
in	O
or	O
to	O
lead	O
.	O
They	O
review	O
the	O
overall	O
compatibility	O
of	O
the	O
various	O
systems	B-syscon
and	O
demonstrate	O
compliance	O
with	O
system	B-opcon
level	I-opcon
requirements	I-opcon
and	O
whether	O
the	O
system	B-syscon
behaves	O
as	O
expected	O
by	O
the	O
stakeholders	B-grp
.	O
End	O
to	O
end	O
testing	B-opcon
includes	O
executing	O
complete	O
threads	O
or	O
operational	B-opcon
scenarios	I-opcon
across	O
multiple	O
CI	O
,	O
ensuring	O
that	O
all	O
mission	B-seterm
requirements	B-opcon
are	O
verified	O
and	O
validated	O
.	O
Operational	B-opcon
scenarios	I-opcon
are	O
used	O
extensively	O
to	O
ensure	O
that	O
the	O
mission	B-seterm
system	B-syscon
or	O
collections	O
of	O
systems	B-syscon
will	O
successfully	O
execute	O
mission	B-seterm
requirements	B-opcon
.	O
In	O
the	O
end	O
,	O
decisions	O
need	B-opcon
to	O
be	O
made	O
in	O
spite	O
of	O
the	O
given	O
variety	O
of	O
attributes	O
.	O
Scenarios	O
should	O
be	O
described	O
in	O
a	O
manner	O
that	O
allows	O
engineers	O
to	O
walk	O
through	O
them	O
and	O
gain	O
an	O
understanding	O
of	O
how	O
all	O
the	O
various	O
parts	O
of	O
the	O
system	B-syscon
should	O
function	O
and	O
interact	O
as	O
well	O
as	O
verify	O
that	O
the	O
system	B-syscon
will	O
satisfy	O
the	O
user	B-grp
s	O
goals	O
and	O
expectations	B-opcon
MOEs	O
.	O
Each	O
scenario	O
should	O
include	O
events	O
,	O
actions	O
,	O
stimuli	O
,	O
information	O
,	O
and	O
interactions	O
as	O
appropriate	O
to	O
provide	O
a	O
comprehensive	O
understanding	O
of	O
the	O
operational	B-opcon
aspects	O
of	O
the	O
system	B-syscon
.	O
Each	O
arrow	O
in	O
the	O
diagram	O
represents	O
one	B-cardinal
or	O
more	O
data	O
or	O
control	O
flows	O
between	O
two	B-cardinal
hardware	B-syscon
,	O
software	B-syscon
,	O
subsystem	O
,	O
or	O
system	B-syscon
CI	O
.	O
End	O
to	O
end	O
testing	B-opcon
verifies	O
that	O
the	O
data	O
flows	O
throughout	O
the	O
multisystem	O
environment	O
are	O
correct	O
,	O
that	O
the	O
system	B-syscon
provides	O
the	O
required	O
functionality	O
,	O
and	O
that	O
the	O
outputs	O
at	O
the	O
eventual	O
end	O
points	O
correspond	O
to	O
expected	O
results	B-mea
.	O
Since	O
the	O
test	B-opcon
environment	O
is	O
as	O
close	O
an	O
approximation	O
as	O
possible	O
to	O
the	O
operational	B-opcon
environment	I-opcon
,	O
system	B-opcon
performance	I-opcon
requirements	B-opcon
testing	B-opcon
is	O
also	O
included	O
.	O
This	O
figure	O
is	O
not	O
intended	O
to	O
show	O
the	O
full	O
extent	O
of	O
end	O
to	O
end	O
testing	B-opcon
.	O
Each	O
system	B-syscon
shown	O
would	O
need	B-opcon
to	O
be	O
broken	O
down	O
into	O
a	O
further	O
level	O
of	O
granularity	O
for	O
completeness	O
.	O
End	O
to	O
end	O
testing	B-opcon
is	O
an	O
integral	O
part	O
of	O
the	O
V	B-abb
&	I-abb
V	I-abb
of	O
the	O
total	O
mission	B-seterm
system	B-syscon
.	O
It	O
is	O
a	O
set	O
of	O
activities	O
that	O
can	O
be	O
employed	O
during	O
selected	O
hardware	B-syscon
,	O
software	B-syscon
,	O
and	O
system	B-syscon
phases	B-event
throughout	O
the	O
life	B-opcon
cycle	I-opcon
using	O
developmental	O
forms	O
and	O
external	O
simulators	O
.	O
However	O
,	O
final	O
end	O
to	O
end	O
testing	B-opcon
should	O
be	O
done	O
on	O
the	O
flight	B-syscon
articles	O
in	O
the	O
flight	B-syscon
configuration	B-opcon
if	O
possible	O
and	O
prior	O
to	O
deployment	O
and	O
launch	O
.	O
The	O
SER	B-abb
should	O
always	O
keep	O
in	O
mind	O
the	O
information	O
that	O
needs	B-opcon
to	O
be	O
available	O
to	O
help	O
the	O
decision	O
makers	O
choose	O
the	O
most	O
cost	B-mea
effective	I-mea
option	O
.	O
In	O
comparison	O
with	O
configuration	B-opcon
item	O
testing	B-opcon
,	O
end	O
to	O
end	O
testing	B-opcon
addresses	O
each	O
configuration	B-opcon
item	O
end	B-syscon
product	I-syscon
only	O
down	O
to	O
the	O
level	O
designated	O
by	O
the	O
verification	B-opcon
plan	I-opcon
generally	O
,	O
the	O
segment	O
r	O
element	O
and	O
focuses	O
on	O
external	O
interfaces	B-syscon
,	O
which	O
can	O
be	O
either	O
hardware	B-syscon
,	O
software	B-syscon
,	O
or	O
human	O
based	O
.	O
The	O
activities	O
and	O
events	O
leading	O
up	O
to	O
the	O
discrepancy	B-mea
should	O
be	O
analyzed	O
to	O
determine	O
if	O
a	O
nonconforming	B-syscon
product	I-syscon
exists	O
or	O
there	O
is	O
an	O
issue	O
with	O
the	O
verification	B-opcon
procedure	O
or	O
conduct	O
.	O
The	O
Decision	B-opcon
Analysis	I-opcon
Process	I-opcon
should	O
be	O
used	O
to	O
make	O
decisions	O
with	O
respect	O
to	O
needed	O
changes	O
in	O
the	O
verification	B-opcon
plans	O
,	O
environment	O
,	O
and	O
or	O
procedures	B-opcon
.	O
As	O
the	O
verification	B-opcon
activities	I-opcon
are	O
completed	O
,	O
the	O
results	B-mea
are	O
collected	O
and	O
analyzed	O
.	O
The	O
data	O
are	O
analyzed	O
for	O
quality	O
,	O
integrity	O
,	O
correctness	O
,	O
consistency	O
,	O
and	O
validity	O
.	O
Any	O
verification	B-opcon
discrepancies	O
anom	O
alies	O
,	O
variations	O
,	O
and	O
out	O
of	O
compliance	O
conditions	O
are	O
identified	O
and	O
reviewed	O
to	O
determine	O
if	O
there	O
is	O
a	O
nonconforming	B-syscon
product	I-syscon
not	O
resulting	O
from	O
poor	O
verification	B-opcon
conduct	O
,	O
procedure	O
,	O
or	O
conditions	O
.	O
If	O
possible	O
,	O
this	O
analysis	B-opcon
is	O
performed	O
while	O
the	O
test	B-opcon
analysis	B-opcon
configuration	B-opcon
is	O
still	O
intact	O
.	O
This	O
allows	O
a	O
quick	O
turnaround	O
in	O
case	O
the	O
data	O
indicates	O
that	O
a	O
correction	O
to	O
the	O
test	B-opcon
or	O
analysis	B-opcon
run	O
needs	B-opcon
to	O
be	O
performed	O
again	O
.	O
Discrepancies	O
and	O
nonconforming	O
products	B-seterm
should	O
be	O
recorded	O
and	O
reported	O
for	O
followup	O
action	O
and	O
closure	O
.	O
Verification	B-opcon
results	B-mea
should	O
be	O
recorded	O
in	O
a	O
requirements	B-opcon
compliance	O
or	O
verification	B-opcon
matrix	O
or	O
other	O
method	O
developed	O
during	O
the	O
Technical	B-opcon
Requirements	I-opcon
Definition	I-opcon
Process	I-opcon
to	O
trace	O
compliance	O
for	O
each	O
product	B-syscon
requirement	B-opcon
.	O
In	O
short	O
,	O
the	O
SEG	B-abb
approach	O
must	O
equally	O
address	O
and	O
integrate	O
these	O
three	B-cardinal
key	O
elements	O
:	O
hardware	B-syscon
,	O
software	B-syscon
,	O
and	O
HSI	O
.	O
Waivers	O
needed	O
as	O
a	O
result	O
of	O
verification	B-opcon
to	O
request	O
relief	O
from	O
or	O
modify	O
a	O
requirement	B-opcon
are	O
identified	O
.	O
NOTE	O
:	O
Nonconformance	O
and	O
discrepancy	B-mea
reports	B-opcon
may	O
be	O
directly	O
linked	O
with	O
the	O
Technical	B-opcon
RM	B-abb
Process	B-opcon
.	O
Depending	O
on	O
the	O
nature	O
of	O
the	O
nonconformance	O
,	O
approval	B-opcon
through	O
such	O
bodies	O
as	O
a	O
Material	O
Review	O
Board	O
or	O
CCB	O
which	O
typically	O
includes	O
RM	B-abb
participation	O
may	O
be	O
required	O
.	O
System	B-syscon
design	B-opcon
and	O
product	B-opcon
realization	I-opcon
process	B-opcon
activities	O
may	O
be	O
required	O
to	O
resolve	O
product	B-syscon
nonconformance	O
.	O
If	O
the	O
mitigation	B-opcon
of	O
the	O
nonconformance	O
results	B-mea
in	O
a	O
change	O
to	O
the	O
product	B-syscon
,	O
the	O
verification	B-opcon
may	O
need	B-opcon
to	O
be	O
planned	O
and	O
performed	O
again	O
.	O
Verification	B-opcon
work	O
products	B-seterm
inputs	O
to	O
the	O
Technical	B-opcon
DM	O
Process	B-opcon
take	O
many	O
forms	O
and	O
involve	O
many	O
sources	O
of	O
information	O
.	O
The	O
capture	O
and	O
recording	O
of	O
verification	B-opcon
results	B-mea
and	O
related	O
data	O
is	O
a	O
very	O
important	O
,	O
but	O
often	O
underemphasized	O
,	O
step	O
in	O
the	O
Product	B-opcon
Verification	I-opcon
Process	I-opcon
.	O
Product	B-syscon
verification	B-opcon
report	O
s	O
:	O
A	O
report	O
shows	O
the	O
results	B-mea
of	O
the	O
verification	B-opcon
activities	I-opcon
.	O
It	O
includes	O
the	O
requirement	B-opcon
that	O
was	O
to	O
be	O
verified	O
and	O
its	O
bidirectional	B-opcon
traceability	I-opcon
,	O
the	O
verification	B-opcon
method	O
used	O
,	O
and	O
reference	O
to	O
any	O
special	O
equipment	B-syscon
,	O
conditions	O
,	O
or	O
procedures	B-opcon
used	O
.	O
It	O
also	O
includes	O
the	O
results	B-mea
of	O
the	O
verification	B-opcon
,	O
any	O
anomalies	O
,	O
variations	O
or	O
out	O
of	O
compliance	O
results	B-mea
noted	O
and	O
associated	O
corrective	O
actions	O
taken	O
.	O
Therefore	O
,	O
the	O
human	O
element	O
is	O
some	O
thing	O
that	O
integration	B-opcon
and	O
SEG	B-abb
processes	B-seterm
must	O
address	O
.	O
gov	O
web	O
se	B-abb
doc	O
repository	O
for	O
additional	O
guidance	O
on	O
:	O
the	O
verification	B-opcon
approach	I-opcon
,	O
verification	B-opcon
in	O
the	O
life	B-opcon
cycle	I-opcon
,	O
verification	B-opcon
procedures	B-opcon
,	O
verification	B-opcon
reports	B-opcon
end	O
to	O
end	O
testing	B-opcon
,	O
use	O
of	O
modeling	B-opcon
and	O
simulations	B-opcon
,	O
and	O
hardware	B-syscon
in	O
the	O
loop	O
testing	B-opcon
.	O
The	O
Product	B-opcon
Validation	I-opcon
Process	I-opcon
is	O
the	O
second	O
of	O
the	O
V	B-abb
&	I-abb
V	I-abb
processes	B-seterm
conducted	O
on	O
an	O
implemented	O
or	O
integrated	O
end	B-syscon
product	I-syscon
.	O
This	O
is	O
achieved	O
by	O
examining	O
the	O
products	B-seterm
of	O
the	O
system	B-syscon
at	O
every	O
level	O
of	O
the	O
product	B-syscon
structure	B-seterm
and	O
comparing	O
them	O
to	O
the	O
stakeholder	B-mea
expectations	I-mea
for	O
that	O
level	O
.	O
A	O
well	O
structured	O
validation	B-opcon
process	B-opcon
can	O
save	O
cost	B-mea
and	O
schedule	B-opcon
while	O
meeting	O
the	O
stakeholder	B-mea
expectations	I-mea
.	O
System	B-syscon
validation	B-opcon
confirms	O
that	O
the	O
integrated	O
realized	O
end	B-seterm
products	I-seterm
conform	O
to	O
stakeholder	B-mea
expectations	I-mea
as	O
captured	O
in	O
the	O
MOEs	O
,	O
MOPs	O
,	O
and	O
ConOps	B-abb
.	O
Validation	B-opcon
also	O
ensures	O
that	O
any	O
anomalies	O
discovered	O
are	O
appropriately	O
resolved	O
prior	O
to	O
product	B-syscon
delivery	O
.	O
This	O
section	O
discusses	O
the	O
process	B-opcon
activities	O
,	O
methods	O
of	O
validation	B-opcon
,	O
inputs	O
and	O
outputs	O
,	O
and	O
potential	O
deficiencies	O
.	O
Validation	B-opcon
plan	O
:	O
This	O
plan	O
would	O
have	O
been	O
developed	O
under	O
the	O
Technical	B-opcon
Planning	I-opcon
Process	I-opcon
and	O
baselined	O
prior	O
to	O
entering	O
this	O
process	B-opcon
.	O
This	O
plan	O
may	O
be	O
a	O
separate	O
document	O
or	O
a	O
section	O
within	O
the	O
V	B-abb
&	I-abb
V	I-abb
Plan	O
.	O
Baselined	O
stakeholder	B-mea
expectations	I-mea
:	O
These	O
would	O
have	O
been	O
developed	O
for	O
the	O
product	B-syscon
at	O
this	O
level	O
during	O
the	O
Stakeholder	B-opcon
Expectations	I-opcon
Definition	I-opcon
Process	I-opcon
.	O
The	O
elements	O
include	O
all	O
hardware	B-syscon
,	O
software	B-syscon
,	O
equipment	B-syscon
,	O
facilities	B-syscon
,	O
personnel	B-grp
,	O
processes	B-seterm
,	O
and	O
procedures	B-opcon
needed	O
for	O
this	O
purpose	O
.	O
It	O
includes	O
the	O
needs	B-opcon
,	O
goals	O
,	O
and	O
objectives	B-opcon
as	O
well	O
as	O
the	O
baselined	O
and	O
updated	O
ConOps	B-abb
and	O
MOEs	O
.	O
The	O
Product	B-opcon
Validation	I-opcon
Process	I-opcon
demonstrates	O
that	O
the	O
end	B-syscon
product	I-syscon
satisfies	O
its	O
stakeholder	B-grp
customer	B-grp
and	O
other	O
interested	O
party	O
expectations	B-opcon
MOEs	O
within	O
the	O
intended	O
operational	B-opcon
environments	O
,	O
with	O
validation	B-opcon
performed	O
by	O
anticipated	O
operators	O
and	O
or	O
users	B-grp
whenever	O
possible	O
.	O
The	O
method	O
of	O
validation	B-opcon
is	O
a	O
function	O
of	O
the	O
life	B-opcon
cycle	I-opcon
phase	B-event
and	O
the	O
position	O
of	O
the	O
end	B-syscon
product	I-syscon
within	O
the	O
system	B-opcon
structure	I-opcon
.	O
Analysis	B-opcon
:	O
The	O
use	O
of	O
mathematical	B-opcon
modeling	I-opcon
and	O
analytical	B-opcon
techniques	I-opcon
to	O
predict	O
the	O
suitability	B-mea
of	O
a	O
design	B-opcon
to	O
stakeholder	B-mea
expectations	I-mea
based	O
on	O
calculated	O
data	O
or	O
data	O
derived	O
from	O
lower	O
system	B-opcon
structure	I-opcon
end	B-opcon
product	I-opcon
verifications	I-opcon
.	O
Analysis	B-opcon
is	O
generally	O
used	O
when	O
a	O
prototype	B-opcon
;	O
engineering	B-opcon
model	I-opcon
;	O
or	O
fabricated	O
,	O
assembled	O
,	O
and	O
integrated	B-syscon
product	I-syscon
is	O
not	O
available	O
.	O
Analysis	B-opcon
includes	O
the	O
use	O
of	O
modeling	B-opcon
and	O
simulation	B-opcon
as	O
analytical	B-opcon
tools	I-opcon
.	O
A	O
model	B-opcon
is	O
a	O
mathematical	B-opcon
representation	I-opcon
of	O
reality	O
.	O
A	O
simulation	B-opcon
is	O
the	O
manipulation	O
of	O
a	O
model	B-opcon
.	O
Demonstration	B-seterm
:	O
Showing	O
that	O
the	O
use	O
of	O
an	O
end	B-syscon
product	I-syscon
achieves	O
the	O
stakeholder	B-mea
expectations	I-mea
as	O
defined	O
in	O
the	O
NGOs	O
and	O
the	O
ConOps	B-abb
.	O
It	O
is	O
generally	O
a	O
basic	O
confirmation	O
of	O
behavioral	O
capability	O
,	O
differentiated	O
from	O
testing	B-opcon
by	O
the	O
lack	O
of	O
detailed	O
data	B-opcon
gathering	I-opcon
.	O
The	O
exact	O
role	O
